author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
ApL,/gp/profile/amzn1.account.AFTH7AZNGRARRUFE3CNVFGFCHY7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 21, 2018",0,0,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,This talking book is hands down the best thing I bought my daughter. She was a bit delayed in speech and since buying this book she’s been spitting out new words left and right. It responds well to touch and the pages are very durable which is great in the hands of a toddler!,Great product,Style: Standard PackagingColor: Scout and VioletVerified Purchase,25 people found this helpful
Joe,/gp/profile/amzn1.account.AH7CWVYVON734G7OC7FXAZLLSZ5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 26, 2019",2,0,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"Your browser does not support HTML5 video.           This will probably be the most educational toy I have purchased for my daughter. The item is very durable, the pages are a vinyl type material. It seems like they would be hard to rip.  There are three different modes, a music mode a search and find mode and also a reading mode. I really like this book because you don’t have to press very hard the pictures are basically touch sensitive almost like a touchscreen tablet or phone.There are several different sections including pets animals, fruits, food, mealtime, clothes, colors, my body, activities, outside, vehicles, and opposites. This will provide hours of fun once my daughter is old enough to begin learning. Leap frog never disappoints with their products.",Excellent educational toy,Style: Standard PackagingColor: Scout and VioletVerified Purchase,15 people found this helpful
Jazz,/gp/profile/amzn1.account.AFOLYQ2QMQVH2RAJOAEKYE3BEK4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 27, 2019",2,0,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,My kid loves this deal. I love that it also has the spanish option. Tons of noises and words.,Love it!,Style: Standard PackagingColor: Scout and VioletVerified Purchase,23 people found this helpful
Amazon Customer,/gp/profile/amzn1.account.AEU7FYIFOIDLYEOLYSC5SZMVLVAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 16, 2018",0,1,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,2.0 out of 5 stars,"The product  is educational and my daughter  took interest  in it at about  14 months old. However  when I tried to clean the toy, the images rub away. Which is a concern  because  toddler's have sticky fingers often. Less than  6 months into it, the toy has electrical issues.  This is where  the toy is singing  songs  and playing words without  being touched at all. And it does  it on repeat and interrupts the last word/song. Doesn't matter if you turn the pages in the book.",My daughter LOVES this toy but....,Style: Standard PackagingColor: Scout and VioletVerified Purchase,24 people found this helpful
A,/gp/profile/amzn1.account.AHQIIL6WQCOHGA26KX3PURCL6QTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 1, 2019",1,0,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"My little one is almost 11months and is starting to point at things and loves looking at picture books like these (but with me reading the words..lol).Like other reviews, the book is pretty sensitive which is really good when he has his finger exactly on a picture (mostly just the pictures on the bottom) and my little one loves listening to the book read the word over and over again by just slightly giving pressure on the finger but then again when the whole hand is on a page the book will read a bunch of words and my little one does get sometimes a bit frustrated. But all in all it seems to me my little one is enjoying the book!",Pretty good mid size book,Style: Standard PackagingColor: Scout and VioletVerified Purchase,19 people found this helpful
Kindle Customer,/gp/profile/amzn1.account.AERIPZJAUVUAOYRCGBU5UQV7NMIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 28, 2018",0,0,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,My twins love this toy. Lots of new vocabulary for them and activities and songs that go along. Well worth it and I would reccomened it.,Great product for pre-schoolers.,Style: Standard PackagingColor: Learning FriendsVerified Purchase,21 people found this helpful
Fysher,/gp/profile/amzn1.account.AF3H7ATDMLGFT2I3DG5Y2TAF4SXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 26, 2018",0,1,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"Not sure when a hen became a frog or when a guinea pig became a lizard!!! Terrible product, leap frog is supposed to educate kids. Thanks Leap Frog, this was a terrible gift for Christmas!!!!",Incorrect Animals,Style: Frustration Free PackagingColor: Learning FriendsVerified Purchase,16 people found this helpful
Brickhouse12,/gp/profile/amzn1.account.AEFVB7BFK33LF5S4QEVUQPM3GWDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 4, 2018",0,0,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"This book is so cute and keeps my son's attention. He is 21 months and really starting to talk more and this has helped with identifying animals, food, body parts and colors and hearing how all of them sound. Would definitely purchase for a friend's kid. Lots of songs and sounds to keep them interested. Also, has English and Spanish words.",Great product to help learn how to say words,Style: Standard PackagingColor: Learning FriendsVerified Purchase,14 people found this helpful
amanda ray,/gp/profile/amzn1.account.AEHYFADRQPQXDPGYVHNXCMWLN5TQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 29, 2019",2,0,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,This leapfrog book really surprised me. It’s perfect. Love that it is bilingual. The pages are plastic so they won’t tear easily. I am very happy with this purchase. Will buy more for gifts in the future.,We loved this,Style: Standard PackagingColor: Scout and VioletVerified Purchase,14 people found this helpful
L Slip,/gp/profile/amzn1.account.AFEZB4N4QO445YNP7NDWRXPX27XQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 20, 2020",0,0,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,"I got this toy for my daughter for a road trip to keep her entertained and she loved it. I had heard about the volume being an issue for some, so I put some packing tape over the speaker and that has helped a lot. The touch aspect is very sensitive, and every time it is triggered, it overrides the previous sound. So we hear a lot of, ""this table is made, this table is, this table is made, this bowl, shoe"", for example.But my main complaint is there is a flashing star button and every time you push it, it sings a song...one of two songs that are only about 5 seconds long. Kids love repetition. Parents, not so much. If this toy had longer songs and maybe 5 more, it would be slightly less annoying. But compared to incessant screaming in a car, we've decided this is the lesser of two evils and a great value. However, sometimes at home we just can't seem to figure out how to turn it on. Strange. ;)",A hit with a young toddler,Style: Frustration Free PackagingColor: Learning FriendsVerified Purchase,5 people found this helpful
