author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,ranking,helpful_votes,total_review,visibility_status
Diane,/gp/profile/amzn1.account.AFUTIXEMU45Q3KI6XPL5ECIMTODA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 6, 2018",0,4,https://www.amazon.com/product-reviews/B0863FPYMB/ref=zg_bs_166225011_cr_13?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,1.0 out of 5 stars,"I would give this zero stars if I could! If you’re into the original sorry game, DON’T buy this version. They changed the rules entirely while ruining the whole game! There are no longer 4 pawns per person, they only have 3! And rather than only being able to get out on a 1 or 2, you can now get out on any number.. oh and the “sorry!” card which allows you to bump someone back to start, now also has the option to move 4 places. It’s like this game was created for this new generation of entitled children that can’t take the time to finish a challenging game the right way without throwing a fit because they have instant gratification issues. Wish I opened it sooner so I could return it. I am very diasspointed in this update!!",DO NOT BUY!!!,Style: classicVerified Purchase,271 people found this helpful,111826,651,23,Public
Lauren,/gp/profile/amzn1.account.AHBILK56PS6KL7RYWE4AZMTMU3LQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 6, 2018",0,3,https://www.amazon.com/product-reviews/B0863FPYMB/ref=zg_bs_166225011_cr_13?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,1.0 out of 5 stars,"This is not the original sorry game. It only has 3 pawns per team instead of the traditional 4. The rules are different also. These rules state that you can exit your home zone with any forward moving card..which is everything except for 4?!?! They ruined the game! This is like the millennial version, do everything to make it easier for the players to make it a quick game. Very sad. Look for the original!",Is this the millennial version?,Style: classicVerified Purchase,127 people found this helpful,56722,303,146,Public
RedHerring,/gp/profile/amzn1.account.AHUWA7NM4VQTWPLP5UI5O4324JRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 6, 2019",0,4,https://www.amazon.com/product-reviews/B0863FPYMB/ref=zg_bs_166225011_cr_13?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,1.0 out of 5 stars,"We bought this to replace our old Sorry game that was falling apart.  I wish we had read the reviews first instead of assuming it was still the classic Sorry--it is definitely not.Differences:- Game board design (doesn't look as good, but it doesn't interfere with play)- 3 pawns instead of 4- Sorry cards can be used to move you forward 4 spaces- Can leave Start on ANY forward-moving card- The 2 card doesn't have you draw againHonestly, if I had known those things, I would NOT have bought this game.  One reviewer called it the Millennial version, and I'm going to agree.  The original game was an excellent tool for teaching kids to suck it up if things didn't go the way they wanted.  Everyone else's pawns are out and yours are still in Start because you haven't drawn a 1 or 2?  Too bad!  Your opponent drew a Sorry card and sent you home?  Deal with it!  This new version is for wimps and crybabies.And why only 3 pawns?  Cutting costs, most likely.Hasbro, you've mucked up a great game.  I'll be looking for the real version and donating this one (though I might put a warning on the box).",Wimp and Crybaby Edition,Style: classicVerified Purchase,102 people found this helpful,94509,255,78,Public
Julie,/gp/profile/amzn1.account.AEASQX2QICHNFOJKPA6OG2IJ5SXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 22, 2018",0,1,https://www.amazon.com/product-reviews/B0863FPYMB/ref=zg_bs_166225011_cr_13?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,2.0 out of 5 stars,"Be warned that this is not the sorry you grew up with. This has only three tokens per player, and the rules are different and make it much easier and in my opinion not as fun. I think this version is good for kids ages 4-8ish. My kids are a little older so we returned this and got the original version, which we all love. I don't think the description on this one is clear enough, so we didn't know we weren't getting the normal Sorry that's been around for decades.",NOT the original/regular Sorry!,Style: classicVerified Purchase,46 people found this helpful,529303,217,63,Public
Christina Cutler,/gp/profile/amzn1.account.AE4SBXPWWMHKLEWMANDBXVFNZI4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 21, 2018",0,3,https://www.amazon.com/product-reviews/B0863FPYMB/ref=zg_bs_166225011_cr_13?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,4.0 out of 5 stars,"Definitely not the classic game, with only 3 pawns each and cards instead of dice, but this version did go significantly faster than I recall from my childhood. I bought this along with some other games for our biweekly game nights and was pretty disappointed when I opened the box. But it turned out pretty okay. It will be easier to play with younger kids (or adults like my husband) with short attention spans.","Not the classic by a long shot, but okay.",Style: classicVerified Purchase,51 people found this helpful,191552,156,99,Public
Jenn D,/gp/profile/amzn1.account.AEAB74TMQA62WCG3JLHVJVT6H4OQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 2, 2018",0,0,https://www.amazon.com/product-reviews/B0863FPYMB/ref=zg_bs_166225011_cr_13?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,3.0 out of 5 stars,"I love classic Sorry and bought this as a replacement for a worn out set. I didn't read the description well enough so it's my fault, but we are very disappointed. This only has 3 pawns for each color and the cards aren't all the same.",Buyer beware! Not the traditional game!,Style: classicVerified Purchase,26 people found this helpful,3100491,33,12,Public
Dot S.,/gp/profile/amzn1.account.AGQXTRBITI77BEXNORLGPDMBKK7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 11, 2018",0,0,https://www.amazon.com/product-reviews/B0863FPYMB/ref=zg_bs_166225011_cr_13?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,4.0 out of 5 stars,"This is an excellent set in a sturdy box with good cards, pawns, and gameboard in it for playing a new version of Sorry, not the classic version. For the price and what you get, it's worth it. I knew, though, what I was buying when I bought this game set...that's why I only gave it a 4. I bought it to get the colored cards that were in this set because that's what my daughter wanted for her kids and no other set had them. I put the colored cards in the classic Sorry game set I'm giving my grandson for his birthday. I knew when I bought it that there were only three pawns of each color...I'm giving the pawns to her to use as spares (you know how little things get lost when you have kids! LOL!). I'm not a fan of the tri-fold gameboard, but this gameboard did lie flat without a gap, even though it was thinner that other Sorry gameboards. The pawns are sturdy and in opaque bright colors and the game cards were a trifle thinner than other Sorry game cards but sturdy enough for the usual playing of the game. All in all, if you realize that what you are getting is a new version of Sorry, not the classic version, you will be happy with the quality of the product. I am happy with the quality of the product.",This is an excellent set in a sturdy box with good cards,Style: classicVerified Purchase,13 people found this helpful,174173,215,45,Public
Nikki Canwell,/gp/profile/amzn1.account.AGAWGCKTEWAZTFVDSIIWSMALIFEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 31, 2017",0,0,https://www.amazon.com/product-reviews/B0863FPYMB/ref=zg_bs_166225011_cr_13?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,4.0 out of 5 stars,Since when does each color only have three pieces instead of four?,Four Stars,Style: classicVerified Purchase,21 people found this helpful,235738,61,187,Public
Rosary A Molloy,/gp/profile/amzn1.account.AHOCJMRN4CMTTMYRAXTEIYSAY5OA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 5, 2019",0,0,https://www.amazon.com/product-reviews/B0863FPYMB/ref=zg_bs_166225011_cr_13?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,1.0 out of 5 stars,"I think Amazon needs to offer a minus star category! Hasbro missed the mark by a country mile on this game. Could the game experts at Hasbro please tell me the reasons behind changing the game so completely from the original version? This version is so bad that we used a fine Sharpie and corrected the cards to read what they were in the original. If you are thinking of buying this game, DON'T! Instead come up with an additional $6 and buy the retro version.",Save your money!,Style: classicVerified Purchase,8 people found this helpful,1099343,81,49,Public
CalicoSelina,/gp/profile/amzn1.account.AFRYWNOOZ2DCQPAUQLC5OFCDB3ZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 16, 2018",0,0,https://www.amazon.com/product-reviews/B0863FPYMB/ref=zg_bs_166225011_cr_13?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,1.0 out of 5 stars,"This is not the original Sorry I grew up with. They made it way too easy, by changing a few rules (you can move out of start with any forward-moving number card, instead of having to draw a 1 or 2) and decreasing the amount of pieces to move per player to 3. After playing the old one with my young kids, this one was a major let down. If you can, track down the older version. Skip this one.",Not the same Sorry I grew up with.,Style: classicVerified Purchase,8 people found this helpful,114453,280,385,Public
